"","C.Block","number.races","race","percent.pop"
"342","060750262004","1","White",0.291031116534472
"343","060750262005","1","White",0.151666666666667
"344","060750263011","1","White",0.458242556281772
"345","060750263012","1","White",0.245389344262295
"346","060750263013","1","White",0.131049888309754
"347","060750263021","1","White",0.469115191986644
"348","060750263022","1","White",0.279371584699454
"349","060750263023","1","White",0.241549563235853
"350","060750263031","1","White",0.321729571271528
"351","060750263032","1","White",0.304628224582701
"352","060750264011","1","White",0.0648579906740144
"353","060750264012","1","White",0.135135135135135
"354","060750264021","1","White",0.120789779326365
"355","060750264022","1","White",0.129961587708067
"356","060750264023","1","White",0.198036951501155
"357","060750264031","1","White",0.0943296237413885
"358","060750264032","1","White",0.117163412127441
"359","060750264041","1","White",0.236142748671222
"360","060750264042","1","White",0.0862812769628991
"361","060750301011","1","White",0.774725274725275
"362","060750301012","1","White",0.602968460111317
"363","060750301013","1","White",0.735294117647059
"364","060750301014","1","White",0.604806408544726
"365","060750301021","1","White",0.611169284467714
"366","060750301022","1","White",0.595147839272176
"367","060750301023","1","White",0.972248803827751
"368","060750302011","1","White",0.658179503500955
"369","060750302012","1","White",0.582637729549249
"370","060750302013","1","White",0.554063604240283
"371","060750302021","1","White",0.652206432311144
"372","060750302022","1","White",0.671527777777778
"373","060750302023","1","White",0.448979591836735
"374","060750303011","1","White",0.467450980392157
"375","060750303012","1","White",0.728813559322034
"376","060750303013","1","White",0.540622627182992
"377","060750303014","1","White",0.32946001367054
"378","060750303021","1","White",0.230271668822768
"379","060750303022","1","White",0.623188405797101
"380","060750303023","1","White",0.591618734593262
"381","060750304001","1","White",0.757407407407407
"382","060750304002","1","White",0.682403433476395
"383","060750304003","1","White",0.190789473684211
"384","060750304004","1","White",0.291208791208791
"385","060750304005","1","White",0.520697167755991
"386","060750305001","1","White",0.731743666169896
"387","060750305002","1","White",0.634199134199134
"388","060750305003","1","White",0.484552845528455
"389","060750306001","1","White",0.617157490396927
"390","060750306002","1","White",0.711940298507463
"391","060750306003","1","White",0.650776053215078
"392","060750307001","1","White",0.572671257702066
"393","060750307002","1","White",0.578446909667195
"394","060750307003","1","White",0.598821081830791
"395","060750308001","1","White",0.72020725388601
"396","060750308002","1","White",0.674129353233831
"397","060750308003","1","White",0.446735395189003
"398","060750308004","1","White",0.646083476272156
"399","060750308005","1","White",0.464424320827943
"400","060750309001","1","White",0.410589410589411
"401","060750309002","1","White",0.57074569789675
"402","060750309003","1","White",0.758409785932722
"403","060750309004","1","White",0.540540540540541
"404","060750309005","1","White",0.304747320061256
"405","060750309006","1","White",0.468261269549218
"406","060750309007","1","White",0.330218068535826
"407","060750310001","1","White",0.592537313432836
"408","060750310002","1","White",0.543109300746775
"409","060750310003","1","White",0.47158026233604
"410","060750311001","1","White",0.462557310239429
"411","060750311002","1","White",0.578096947935368
"412","060750311003","1","White",0.288837744533947
"413","060750311004","1","White",0.66384778012685
"414","060750311005","1","White",0.659649122807018
"415","060750312011","1","White",0.233572895277207
"416","060750312012","1","White",0.164419475655431
"417","060750312013","1","White",0.367367367367367
"418","060750312014","1","White",0.209407216494845
"419","060750312021","1","White",0.142248722316865
"420","060750312022","1","White",0.181969026548673
"421","060750313011","1","White",0.103302286198137
"422","060750313012","1","White",0.212407991587802
"423","060750313013","1","White",0.34921875
"424","060750313021","1","White",0.191848906560636
"425","060750313022","1","White",0.094186902133922
"426","060750313023","1","White",0.294539249146758
"427","060750314001","1","White",0.286219081272085
"428","060750314002","1","White",0.223214285714286
"429","060750314003","1","White",0.309367088607595
"430","060750314004","1","White",0.215370018975332
"431","060750314005","1","White",0.130742049469965
"432","060750326011","1","White",0.362003266194883
"433","060750326012","1","White",0.361538461538462
"434","060750326013","1","White",0.375076734192756
"435","060750326021","1","White",0.306056701030928
"436","060750326022","1","White",0.38931718061674
"437","060750326023","1","White",0.505119453924915
"438","060750327001","1","White",0.559491371480472
"439","060750327002","1","White",0.374068554396423
"440","060750327003","1","White",0.297816015883521
"441","060750327004","1","White",0.419975932611312
"442","060750327005","1","White",0.268041237113402
"443","060750327006","1","White",0.320471596998928
"444","060750327007","1","White",0.289222373806276
"445","060750328011","1","White",0.250569476082005
"446","060750328012","1","White",0.349229640498899
"447","060750328013","1","White",0.275331935709294
"448","060750328021","1","White",0.192273924495171
"449","060750328022","1","White",0.170418006430868
"450","060750328023","1","White",0.263931888544892
"451","060750329011","1","White",0.258064516129032
"452","060750329012","1","White",0.337712519319938
"453","060750329013","1","White",0.345065562456867
"454","060750329014","1","White",0.345762711864407
"455","060750329021","1","White",0.26926196269262
"456","060750329022","1","White",0.336259284267387
"457","060750329023","1","White",0.321623731459797
